123917,1452726804,1.777,1.938,Slayers of Gods,paiN Gaming,GameResult,Canada Cup,Map1,123916
123918,1452726805,1.861,1.859,Slayers of Gods,paiN Gaming,FB,Canada Cup,Map1,123916
123919,1452726810,1.818,1.898,Slayers of Gods,paiN Gaming,Kills10,Canada Cup,Map1,123916
123663,1452718680,1.318,2.878,Team Liquid,Vega Squadron,Total,Starseries,NA,123663
123664,1452718680,1.778,1.937,Team Liquid,Vega Squadron,First Blood,Starseries,First Blood,123663
123665,1452718680,1.496,2.353,Team Liquid,Vega Squadron,will take first 10 kills,Starseries,will take first 10 kills,123663
123699,1452716820,1.590,2.178,Wings Gaming,compLexity,Total,Starseries,NA,123699
123700,1452716820,1.742,1.975,Wings Gaming,compLexity,First blood,Starseries,First blood,123699
123701,1452716820,1.580,2.195,Wings Gaming,compLexity,will take first 10 kills,Starseries,will take first 10 kills,123699
123669,1452713220,1.225,3.353,Virtus.pro,compLexity,Total,Starseries,NA,123669
123670,1452713220,1.343,2.780,Virtus.pro,compLexity,will take first 10 kills,Starseries,will take first 10 kills,123669
123671,1452713220,1.723,1.996,Virtus.pro,compLexity,First Blood,Starseries,First Blood,123669
123696,1452711780,1.345,2.774,Team Secret,Vega Squadron,Total,Starseries,NA,123696
123697,1452711780,1.747,1.970,Team Secret,Vega Squadron,First blood,Starseries,First blood,123696
123698,1452711780,1.578,2.198,Team Secret,Vega Squadron,will take first 10 kills,Starseries,will take first 10 kills,123696
123648,1452710820,1.346,2.771,Virtus.pro,Wings Gaming,Total,Starseries,NA,123648
123649,1452710820,1.721,1.998,Virtus.pro,Wings Gaming,First blood,Starseries,First blood,123648
123650,1452710820,1.559,2.231,Virtus.pro,Wings Gaming,will take first 10 kills,Starseries,will take first 10 kills,123648
123666,1452708900,1.705,2.018,Team Secret,Team Liquid,Total,Starseries,NA,123666
123667,1452708900,1.842,1.876,Team Secret,Team Liquid,First Blood,Starseries,First Blood,123666
123668,1452708900,1.926,1.789,Team Secret,Team Liquid,will take first 10 kills,Starseries,will take first 10 kills,123666
123910,1452706380,1.692,2.034,Alliance,Team Spirit,Total,StarSeries,NA,123910
123911,1452706380,1.762,1.954,Alliance,Team Spirit,First blood,StarSeries,First blood,123910
123912,1452706380,1.676,2.054,Alliance,Team Spirit,will take first 10 kills,StarSeries,will take first 10 kills,123910
123693,1452704580,1.286,3.018,Team Liquid,compLexity,Total,Starseries,NA,123693
123694,1452704580,1.814,1.901,Team Liquid,compLexity,First blood,Starseries,First blood,123693
123695,1452704580,1.497,2.351,Team Liquid,compLexity,will take first 10 kills,Starseries,will take first 10 kills,123693
123872,1452702240,1.811,1.904,Alliance,Fnatic,Total,Starseries,NA,123872
123873,1452702240,1.902,1.813,Alliance,Fnatic,First blood,Starseries,First blood,123872
123874,1452702240,1.948,1.768,Alliance,Fnatic,will take first 10 kills,Starseries,will take first 10 kills,123872
