147006,Dota2,2016-04-13 03:00:00.000000,1.738,1.980,Team Freedom,Animal Kingdom,FB,ESL Quali,Map1,147004,draw
147007,Dota2,2016-04-13 03:00:00.000000,1.474,2.400,Team Freedom,Animal Kingdom,Kills10,ESL Quali,Map1,147004,draw
147000,Dota2,2016-04-13 00:00:00.000000,1.049,5.555,compLexity,Enemy,Total,ESL Quali,NA,147000,draw
147001,Dota2,2016-04-13 01:00:00.000000,1.133,4.156,compLexity,Enemy,GameResult,ESL Quali,Map1,147000,draw
147002,Dota2,2016-04-13 01:00:00.000000,1.606,2.152,compLexity,Enemy,FB,ESL Quali,Map1,147000,draw
147003,Dota2,2016-04-13 01:00:00.000000,1.291,2.994,compLexity,Enemy,Kills10,ESL Quali,Map1,147000,draw
146816,Counter-Strike,2016-04-12 22:30:00.000000,1.732,1.986,EnVyUs,Tempo Storm,Total,DreamHack,NA,146816,draw
146817,Counter-Strike,2016-04-12 22:30:00.000000,1.748,1.969,EnVyUs,Tempo Storm,will win 1st round,DreamHack,will win 1st round,146816,draw
146818,Counter-Strike,2016-04-12 22:30:00.000000,1.767,1.948,EnVyUs,Tempo Storm,will win 16th round,DreamHack,will win 16th round,146816,draw
147036,Counter-Strike,2016-04-12 22:30:00.000000,1.853,1.866,EnVyUs,Tempo Storm,Total rounds Over 26.5,DreamHack,Total rounds Under 26.5,146816,draw
146989,Counter-Strike,2016-04-12 22:00:00.000000,1.451,2.455,PENTA,DenDD,Total,CEVO,NA,146989,draw
146991,Counter-Strike,2016-04-12 22:00:00.000000,1.497,2.351,PENTA,DenDD,GameResult,CEVO,Map1,146989,draw
146992,Counter-Strike,2016-04-12 22:00:00.000000,1.720,2.000,PENTA,DenDD,will win 1st round on map 1,CEVO,will win 1st round on map 1,146989,draw
146993,Counter-Strike,2016-04-12 22:00:00.000000,1.720,2.000,PENTA,DenDD,will win 16th round on map 1,CEVO,will win 16th round on map 1,146989,draw
147127,Counter-Strike,2016-04-12 22:00:00.000000,1.858,1.862,PENTA,DenDD,Total maps Over 2.5,CEVO,Total maps Under 2.5,146989,draw
146985,Counter-Strike,2016-04-12 21:00:00.000000,1.505,2.334,Tempest,LeiSuRe,Total,RGN,NA,146985,draw
146988,Counter-Strike,2016-04-12 21:00:00.000000,1.605,2.154,Tempest,LeiSuRe,GameResult,RGN,Map1,146985,draw
146923,Dota2,2016-04-12 21:00:00.000000,1.220,3.387,Team Liquid,Power Rangers,Total,BTS,NA,146923,draw
146925,Dota2,2016-04-12 21:00:00.000000,1.366,2.698,Team Liquid,Power Rangers,GameResult,BTS,Map1,146923,draw
146926,Dota2,2016-04-12 21:00:00.000000,1.807,1.908,Team Liquid,Power Rangers,FB,BTS,Map1,146923,draw
146927,Dota2,2016-04-12 21:00:00.000000,1.602,2.160,Team Liquid,Power Rangers,Kills10,BTS,Map1,146923,draw
146902,Dota2,2016-04-12 21:00:00.000000,1.480,2.386,Team Spirit,Danish Bears,Total,Prodota Cup,NA,146902,draw
146903,Dota2,2016-04-12 21:00:00.000000,1.614,2.140,Team Spirit,Danish Bears,GameResult,Prodota Cup,Map1,146902,draw
146904,Dota2,2016-04-12 21:00:00.000000,1.793,1.922,Team Spirit,Danish Bears,FB,Prodota Cup,Map1,146902,draw
146906,Dota2,2016-04-12 21:00:00.000000,1.760,1.955,Team Spirit,Danish Bears,Kills10,Prodota Cup,Map1,146902,draw
146813,Counter-Strike,2016-04-12 21:00:00.000000,1.699,2.026,Virtus.pro,FaZe,Total,DreamHack,NA,146813,draw
146814,Counter-Strike,2016-04-12 21:00:00.000000,1.820,1.896,Virtus.pro,FaZe,will win 1st round,DreamHack,will win 1st round,146813,draw
146815,Counter-Strike,2016-04-12 21:00:00.000000,1.824,1.892,Virtus.pro,FaZe,will win 16th round,DreamHack,will win 16th round,146813,draw
147037,Counter-Strike,2016-04-12 21:00:00.000000,1.774,1.941,Virtus.pro,FaZe,Total rounds Over 26.5,DreamHack,Total rounds Under 26.5,146813,draw
146842,Counter-Strike,2016-04-12 20:15:01.000000,1.211,3.453,RCTIC,Enso,Total,GameShow,NA,146842,draw
146843,Counter-Strike,2016-04-12 20:15:04.000000,1.341,2.788,RCTIC,Enso,GameResult,GameShow,Map1,146842,draw
146844,Counter-Strike,2016-04-12 20:14:00.000000,1.588,2.182,RCTIC,Enso,will win 1st round on map 1,GameShow,will win 1st round on map 1,146842,draw
146845,Counter-Strike,2016-04-12 20:00:00.000000,1.604,2.156,RCTIC,Enso,will win 16th round on map 1,GameShow,will win 16th round on map 1,146842,draw
146987,Counter-Strike,2016-04-12 20:00:00.000000,1.559,2.231,Orbit,Alpha,Total,RGN,NA,146987,draw
146810,Counter-Strike,2016-04-12 19:30:00.000000,1.276,3.065,NiP,dignitas,Total,DreamHack,NA,146810,win2
146811,Counter-Strike,2016-04-12 19:30:00.000000,1.738,1.980,NiP,dignitas,will win 1st round,DreamHack,will win 1st round,146810,win2
146812,Counter-Strike,2016-04-12 19:55:00.000000,1.948,1.767,NiP,dignitas,will win 16th round,DreamHack,will win 16th round,146810,win2
146939,Dota2,2016-04-12 19:04:55.000000,1.239,3.271,Alternate,!Rebels!,Total,NXTGame,NA,146939,draw
146940,Dota2,2016-04-12 19:04:00.000000,1.403,2.585,Alternate,!Rebels!,GameResult,NXTGame,Map1,146939,win2
146941,Dota2,2016-04-12 19:04:00.000000,1.792,1.923,Alternate,!Rebels!,FB,NXTGame,Map1,146939,win1
146942,Dota2,2016-04-12 19:04:00.000000,1.564,2.221,Alternate,!Rebels!,Kills10,NXTGame,Map1,146939,win2
147113,Dota2,2016-04-12 19:52:00.000000,1.483,2.380,Alternate,!Rebels!,GameResult,NXTGame,Map2,146939,win2
147114,Dota2,2016-04-12 19:52:00.000000,1.835,1.882,Alternate,!Rebels!,First blood map 2,NXTGame,First blood map 2,146939,win2
147115,Dota2,2016-04-12 19:52:00.000000,1.739,1.979,Alternate,!Rebels!,Kills10,NXTGame,Map2,146939,win2
147132,Dota2,2016-04-12 20:40:00.000000,1.769,1.947,Alternate,!Rebels!,GameResult,NXTGame,Map3,146939,draw
147133,Dota2,2016-04-12 20:40:00.000000,1.846,1.872,Alternate,!Rebels!,First blood map 3,NXTGame,First blood map 3,146939,draw
147134,Dota2,2016-04-12 20:40:00.000000,1.775,1.940,Alternate,!Rebels!,Kills10,NXTGame,Map3,146939,draw
146990,Counter-Strike,2016-04-12 19:00:00.000000,1.016,6.509,E-frag.net,Alter Your Ego,Total,CEVO,NA,146990,draw
146994,Counter-Strike,2016-04-12 19:00:00.000000,1.046,5.634,E-frag.net,Alter Your Ego,GameResult,CEVO,Map1,146990,win1
146995,Counter-Strike,2016-04-12 19:00:00.000000,1.333,2.820,E-frag.net,Alter Your Ego,will win 1st round on map 1,CEVO,will win 1st round on map 1,146990,win2
146996,Counter-Strike,2016-04-12 19:41:00.000000,1.352,2.748,E-frag.net,Alter Your Ego,will win 16th round on map 1,CEVO,will win 16th round on map 1,146990,win1
147122,Counter-Strike,2016-04-12 20:18:34.000000,1.068,5.130,E-frag.net,Alter Your Ego,GameResult,CEVO,Map2,146990,draw
147123,Counter-Strike,2016-04-12 20:18:00.000000,1.384,2.641,E-frag.net,Alter Your Ego,will win 1st round on map 2,CEVO,will win 1st round on map 2,146990,win2
147124,Counter-Strike,2016-04-12 20:38:00.000000,1.411,2.561,E-frag.net,Alter Your Ego,will win 16th round on map 2,CEVO,will win 16th round on map 2,146990,draw
146918,Dota2,2016-04-12 18:14:48.000000,1.933,1.782,Danish Bears,Team Empire,Total,ESL Quali,NA,146918,draw
146919,Dota2,2016-04-12 18:14:00.000000,1.885,1.832,Danish Bears,Team Empire,GameResult,ESL Quali,Map1,146918,win2
146920,Dota2,2016-04-12 18:14:00.000000,1.844,1.874,Danish Bears,Team Empire,FB,ESL Quali,Map1,146918,win2
