136078,2016-03-03 08:30:00.000000,1.166,3.808,Evil Geniuses,Fnatic,Total,Major,NA,136078,draw
136079,2016-03-03 08:30:00.000000,1.290,3.001,Evil Geniuses,Fnatic,GameResult,Major,Map1,136078,draw
136080,2016-03-03 08:30:00.000000,1.720,2.000,Evil Geniuses,Fnatic,FB,Major,Map1,136078,draw
136081,2016-03-03 08:30:00.000000,1.433,2.500,Evil Geniuses,Fnatic,Kills10,Major,Map1,136078,draw
136082,2016-03-03 08:30:00.000000,1.349,2.760,Evil Geniuses,Fnatic,will take 1st line on map 1,Major,will take 1st line on map 1,136078,draw
136083,2016-03-03 08:30:00.000000,1.608,2.150,Evil Geniuses,Fnatic,will take 1st tower on map 1,Major,will take 1st tower on map 1,136078,draw
136084,2016-03-03 08:30:00.000000,1.502,2.340,Evil Geniuses,Fnatic,Dire will take 1st roshan on map 1,Major,Radiant will take 1st roshan on map 1,136078,draw
136085,2016-03-03 08:30:00.000000,2.322,1.511,Evil Geniuses,Fnatic,(Yes) A courier will be killed on map 1,Major,(No) A courier will be killed on map 1,136078,draw
136086,2016-03-03 08:30:00.000000,2.402,1.474,Evil Geniuses,Fnatic,(Yes) Godlike will take place on map 1,Major,(No) Godlike will take place on map 1,136078,draw
136087,2016-03-03 08:30:00.000000,2.350,1.497,Evil Geniuses,Fnatic,Total destruction Roshans Over 2.5,Major,Total destruction Roshans Under 2.5,136078,draw
136088,2016-03-03 08:30:00.000000,2.339,1.502,Evil Geniuses,Fnatic,Total time Over 40 minutes on map 1,Major,Total time Under 40 minutes on map 1,136078,draw
136089,2016-03-03 08:30:00.000000,1.719,2.001,Evil Geniuses,Fnatic,Total kills Over 39.5 on map 1,Major,Total kills Under 39.5 on map 1,136078,draw
136090,2016-03-03 08:30:00.000000,2.313,1.515,Evil Geniuses,Fnatic,Total kills Over 46.5 on map 1,Major,Total kills Under 46.5 on map 1,136078,draw
136091,2016-03-03 08:30:00.000000,2.969,1.297,Evil Geniuses,Fnatic,Total destruction buildings Over 17.5 on map 1,Major,Total destruction buildings Under 17.5 on map 1,136078,draw
136092,2016-03-03 08:30:00.000000,2.322,1.511,Evil Geniuses,Fnatic,Total maps Over 2.5,Major,Total maps Under 2.5,136078,draw
135978,2016-03-03 05:00:00.000000,1.392,2.617,OG,Team Secret,Total,Major,NA,135978,draw
135988,2016-03-03 05:00:00.000000,1.397,2.600,OG,Team Secret,GameResult,Major,Map1,135978,draw
135989,2016-03-03 05:00:00.000000,1.826,1.890,OG,Team Secret,FB,Major,Map1,135978,draw
135990,2016-03-03 05:00:00.000000,1.522,2.300,OG,Team Secret,Kills10,Major,Map1,135978,draw
135991,2016-03-03 05:00:00.000000,1.765,1.950,OG,Team Secret,will take 1st tower on map 1,Major,will take 1st tower on map 1,135978,draw
135992,2016-03-03 05:00:00.000000,1.433,2.500,OG,Team Secret,will take 1st line on map 1,Major,will take 1st line on map 1,135978,draw
135995,2016-03-03 05:00:00.000000,1.548,2.251,OG,Team Secret,Dire will take 1st roshan on map 1,Major,Radiant will take 1st roshan on map 1,135978,draw
135997,2016-03-03 05:00:00.000000,1.962,1.754,OG,Team Secret,(Yes) A courier will be killed on map 1,Major,(No) A courier will be killed on map 1,135978,draw
135998,2016-03-03 05:00:00.000000,2.365,1.490,OG,Team Secret,(Yes) Godlike will take place on map 1,Major,(No) Godlike will take place on map 1,135978,draw
135999,2016-03-03 05:00:00.000000,1.884,1.832,OG,Team Secret,Total maps Over 2.5,Major,Total maps Under 2.5,135978,draw
136000,2016-03-03 05:00:00.000000,2.300,1.522,OG,Team Secret,Total destruction Roshans Over 2.5,Major,Total destruction Roshans Under 2.5,135978,draw
136001,2016-03-03 05:00:00.000000,2.000,1.720,OG,Team Secret,Total time Over 40 minutes on map 1,Major,Total time Under 40 minutes on map 1,135978,draw
136002,2016-03-03 05:00:00.000000,1.742,1.975,OG,Team Secret,Total kills Over 33.5 on map 1,Major,Total kills Under 33.5 on map 1,135978,draw
136003,2016-03-03 05:00:00.000000,2.363,1.491,OG,Team Secret,Total kills Over 45.5 on map 1,Major,Total kills Under 45.5 on map 1,135978,draw
136004,2016-03-03 05:00:00.000000,2.350,1.497,OG,Team Secret,Total destruction buildings Over 17.5 on map 1,Major,Total destruction buildings Under 17.5 on map 1,135978,draw
135869,2016-03-02 16:30:00.000000,1.608,2.150,NewBee,CDEC,Total,Major,NA,135869,draw
135870,2016-03-02 16:30:00.000000,1.814,1.901,NewBee,CDEC,First Blood,Major,First Blood,135869,draw
135871,2016-03-02 16:30:00.000000,1.860,1.860,NewBee,CDEC,will take first 10 kills,Major,will take first 10 kills,135869,draw
135872,2016-03-02 16:30:00.000000,1.860,1.860,NewBee,CDEC,will take 1st tower,Major,will take 1st tower,135869,draw
135873,2016-03-02 16:30:00.000000,1.720,2.000,NewBee,CDEC,will take 1st line,Major,will take 1st line,135869,draw
135874,2016-03-02 16:30:00.000000,2.900,1.313,NewBee,CDEC,Total destruction buildings Over 17.5,Major,Total destruction buildings Under 17.5,135869,draw
135875,2016-03-02 16:30:00.000000,1.859,1.861,NewBee,CDEC,Total destruction Roshans Over 2.5,Major,Total destruction Roshans Under 2.5,135869,draw
135876,2016-03-02 16:30:00.000000,2.913,1.310,NewBee,CDEC,Total kills Over 50.5,Major,Total kills Under 50.5,135869,draw
135877,2016-03-02 16:30:00.000000,1.608,2.150,NewBee,CDEC,Total kills Over 38.5,Major,Total kills Under 38.5,135869,draw
135878,2016-03-02 16:30:00.000000,1.853,1.866,NewBee,CDEC,Total time Over 40 minutes,Major,Total time Under 40 minutes,135869,draw
135879,2016-03-02 16:30:00.000000,2.134,1.619,NewBee,CDEC,(Yes) Godlike will take place,Major,(No) Godlike will take place,135869,draw
