1995989266	2015-12-12T02:12:35	39	726228	radiant	dire	3781
1995874559	2015-12-12T00:08:49	39	726228	radiant	dire	3781
1993868977	2015-12-11T05:38:38	39	2163	radiant	radiant	3781
1993802548	2015-12-11T04:18:26	39	2163	radiant	dire	3781
1993737370	2015-12-11T03:27:43	39	2163	radiant	dire	3781
1993659090	2015-12-11T01:43:50	2512249	39	dire	dire	3781
1993608233	2015-12-11T00:22:56	39	2512249	radiant	radiant	3781
1949504719	2015-11-21T10:23:51	39	2586976	radiant	radiant	3671
1947612675	2015-11-20T15:01:30	39	1838315	radiant	radiant	3671
1943762819	2015-11-18T16:29:53	39	1520578	radiant	dire	3671
1943612348	2015-11-18T15:24:25	39	1520578	radiant	radiant	3671
1939511048	2015-11-16T13:18:11	2006913	39	dire	dire	3671
1995917878	2015-12-12T01:19:20	39	726228	dire	radiant	3781
1993753508	2015-12-11T03:24:38	39	2163	dire	dire	3781
1993547070	2015-12-10T23:17:59	39	2512249	dire	radiant	3781
1949769021	2015-11-21T12:49:13	2586976	39	radiant	dire	3671
1949609142	2015-11-21T11:39:12	2586976	39	radiant	dire	3671
1947775308	2015-11-20T16:17:41	1838315	39	radiant	radiant	3671
1947403563	2015-11-20T13:51:39	39	1838315	dire	radiant	3671
1939395493	2015-11-16T12:16:25	39	2006913	dire	radiant	3671
1983602094	2015-12-06T11:21:34	2246141	111474	dire	radiant	3534
1983480663	2015-12-06T10:02:45	111474	2246141	radiant	radiant	3534
1981322667	2015-12-05T14:27:46	111474	2163	radiant	radiant	3534
1977186331	2015-12-03T19:45:45	111474	1883502	radiant	dire	3902
1977091866	2015-12-03T17:54:59	1883502	111474	dire	dire	3902
1974697195	2015-12-02T15:25:19	111474	36	radiant	radiant	3902
1974521164	2015-12-02T14:06:23	36	111474	dire	radiant	3902
1983978130	2015-12-06T13:42:57	111474	2163	dire	dire	3534
1983817900	2015-12-06T12:35:59	111474	2163	dire	dire	3534
1981733381	2015-12-05T16:46:25	111474	2163	dire	dire	3534
1981562036	2015-12-05T15:35:31	111474	2163	dire	dire	3534
1976981059	2015-12-03T16:53:04	111474	1883502	dire	dire	3902
1973117951	2015-12-01T18:58:41	111474	2586976	dire	radiant	3902
1972994203	2015-12-01T17:47:02	111474	2586976	dire	radiant	3902
1963952938	2015-11-27T19:24:13	111474	46	dire	dire	3865
1963838471	2015-11-27T18:35:35	111474	46	dire	dire	3865
1963272790	2015-11-27T14:38:48	2276247	111474	radiant	dire	3865
1963134007	2015-11-27T13:26:52	111474	2276247	dire	dire	3865
1943424630	2015-11-18T13:52:36	111474	1883502	dire	radiant	3671
1943279606	2015-11-18T12:48:56	1883502	111474	radiant	radiant	3671
1896935224	2015-10-27T23:05:42	2519319	2246141	radiant	radiant	3534
1896884315	2015-10-27T22:04:53	2519319	2246141	radiant	dire	3534
1894505061	2015-10-26T18:54:04	2519319	1529126	radiant	dire	3534
