143372,Counter-Strike,2016-03-31 19:00:00.000000,1.607,2.151,Torpedo,ALTERNATE aTTaX,Total,Kinguin,NA,143372,draw
143371,Counter-Strike,2016-03-31 19:00:00.000000,1.290,3.000,AGG,Planetkey,Total,Hitbox,NA,143371,draw
143378,Dota2,2016-03-31 18:00:00.000000,1.451,2.455,Team Spirit,Ad Finem,Total,SL i-L Quali,NA,143378,draw
143379,Dota2,2016-03-31 18:00:00.000000,1.511,2.322,Team Spirit,Ad Finem,GameResult,SL i-L Quali,Map1,143378,draw
143380,Dota2,2016-03-31 18:00:00.000000,1.720,2.000,Team Spirit,Ad Finem,FB,SL i-L Quali,Map1,143378,draw
143381,Dota2,2016-03-31 18:00:00.000000,1.642,2.100,Team Spirit,Ad Finem,Kills10,SL i-L Quali,Map1,143378,draw
143336,LoL,2016-03-31 14:00:00.000000,1.204,3.500,Snake,Master3,Total,LPL,NA,143336,draw
143337,LoL,2016-03-31 14:00:00.000000,1.299,2.961,Snake,Master3,GameResult,LPL,Map1,143336,draw
143338,LoL,2016-03-31 14:00:00.000000,1.720,2.000,Snake,Master3,FB,LPL,Map1,143336,draw
143342,LoL,2016-03-31 14:00:00.000000,1.338,2.800,Snake,Master3,Kills10,LPL,Map1,143336,draw
143328,LoL,2016-03-31 14:00:00.000000,1.031,6.033,SK Telecom T1,Kongdoo Monster,Total,LCK,NA,143328,draw
143329,LoL,2016-03-31 14:00:00.000000,1.106,4.501,SK Telecom T1,Kongdoo Monster,GameResult,LCK,Map1,143328,draw
143330,LoL,2016-03-31 14:00:00.000000,1.520,2.304,SK Telecom T1,Kongdoo Monster,FB,LCK,Map1,143328,draw
143331,LoL,2016-03-31 14:00:00.000000,1.204,3.501,SK Telecom T1,Kongdoo Monster,Kills10,LCK,Map1,143328,draw
143332,LoL,2016-03-31 12:00:00.000000,1.106,4.500,Qiao Gu Reapers,Energy Pacemaker.All,Total,LPL,NA,143332,draw
143333,LoL,2016-03-31 12:00:00.000000,1.204,3.500,Qiao Gu Reapers,Energy Pacemaker.All,GameResult,LPL,Map1,143332,draw
143334,LoL,2016-03-31 12:00:00.000000,1.607,2.151,Qiao Gu Reapers,Energy Pacemaker.All,FB,LPL,Map1,143332,draw
143335,LoL,2016-03-31 12:00:00.000000,1.338,2.800,Qiao Gu Reapers,Energy Pacemaker.All,Kills10,LPL,Map1,143332,draw
143352,LoL,2016-03-31 11:00:00.000000,1.295,2.977,Jin Air Green Wings,Afreeca Freecs,Total,LCK,NA,143352,draw
143353,LoL,2016-03-31 11:00:00.000000,1.381,2.650,Jin Air Green Wings,Afreeca Freecs,GameResult,LCK,Map1,143352,draw
143354,LoL,2016-03-31 11:00:00.000000,1.745,1.971,Jin Air Green Wings,Afreeca Freecs,FB,LCK,Map1,143352,draw
143355,LoL,2016-03-31 11:00:00.000000,1.548,2.250,Jin Air Green Wings,Afreeca Freecs,Kills10,LCK,Map1,143352,draw
143347,Counter-Strike,2016-03-31 04:00:00.000000,1.299,2.961,Bees Money Crew,Mostly Harmless,Total,RGN,NA,143347,draw
143348,Counter-Strike,2016-03-31 04:00:00.000000,1.397,2.600,Bees Money Crew,Mostly Harmless,GameResult,RGN,Map1,143347,draw
143349,Counter-Strike,2016-03-31 04:00:00.000000,1.606,2.152,Bees Money Crew,Mostly Harmless,will win 1st round on map 1,RGN,will win 1st round on map 1,143347,draw
143350,Counter-Strike,2016-03-31 04:00:00.000000,1.607,2.151,Bees Money Crew,Mostly Harmless,will win 16th round on map 1,RGN,will win 16th round on map 1,143347,draw
143252,Counter-Strike,2016-03-31 02:10:00.000000,1.368,2.694,Natus Vincere,Virtus.pro,Total,MLG,NA,143252,draw
143253,Counter-Strike,2016-03-31 01:10:00.000000,1.721,1.999,Natus Vincere,Virtus.pro,will win 1st round,MLG,will win 1st round,143252,draw
143254,Counter-Strike,2016-03-31 01:10:00.000000,1.719,2.002,Natus Vincere,Virtus.pro,will win 16th round,MLG,will win 16th round,143252,draw
143255,Counter-Strike,2016-03-31 01:10:00.000000,1.610,2.147,Natus Vincere,Virtus.pro,will win 5 rounds first,MLG,will win 5 rounds first,143252,draw
143241,Counter-Strike,2016-03-31 01:00:00.000000,1.255,3.180,Astralis,CLG,Total,MLG,NA,143241,draw
143242,Counter-Strike,2016-03-31 00:00:00.000000,1.662,2.072,Astralis,CLG,will win 1st round,MLG,will win 1st round,143241,draw
143243,Counter-Strike,2016-03-31 00:00:00.000000,1.669,2.062,Astralis,CLG,will win 16th round,MLG,will win 16th round,143241,draw
143244,Counter-Strike,2016-03-31 00:00:00.000000,1.504,2.336,Astralis,CLG,will win 5 rounds first,MLG,will win 5 rounds first,143241,draw
