147432,Dota2,2016-04-14 21:00:00.000000,2.270,1.537,OG,Natus Vincere,Total time Over 40 minutes on map 1,SL i-League,Total time Under 40 minutes on map 1,147323,draw
147547,Dota2,2016-04-14 20:00:00.000000,1.651,2.087,Team Empire,Kaipi,Total,Prodota Cup,NA,147547,draw
147548,Dota2,2016-04-14 20:00:00.000000,1.835,1.882,Team Empire,Kaipi,First blood,Prodota Cup,First blood,147547,draw
147549,Dota2,2016-04-14 20:00:00.000000,1.669,2.063,Team Empire,Kaipi,will take first 10 kills,Prodota Cup,will take first 10 kills,147547,draw
147389,Dota2,2016-04-14 20:00:00.000000,1.931,1.784,London Conspiracy,Prodota Gaming,Total,NoShang,NA,147389,draw
147390,Dota2,2016-04-14 20:00:00.000000,1.823,1.893,London Conspiracy,Prodota Gaming,GameResult,NoShang,Map1,147389,draw
147391,Dota2,2016-04-14 20:00:00.000000,1.936,1.779,London Conspiracy,Prodota Gaming,FB,NoShang,Map1,147389,draw
147392,Dota2,2016-04-14 20:00:00.000000,1.734,1.984,London Conspiracy,Prodota Gaming,Kills10,NoShang,Map1,147389,draw
147589,Counter-Strike,2016-04-14 19:00:00.000000,3.015,2.713,Epiphany Bolt,AliGon,Total,Game On,NA,147589,draw
147591,Counter-Strike,2016-04-14 19:00:00.000000,1.892,1.824,Epiphany Bolt,AliGon,GameResult,Game On,Map1,147589,draw
147452,Dota2,2016-04-14 19:00:00.000000,1.189,3.612,Team Liquid,Polarity,Total,BTS,NA,147452,draw
147453,Dota2,2016-04-14 19:00:00.000000,1.312,2.902,Team Liquid,Polarity,GameResult,BTS,Map1,147452,draw
147454,Dota2,2016-04-14 19:00:00.000000,1.775,1.940,Team Liquid,Polarity,FB,BTS,Map1,147452,draw
147456,Dota2,2016-04-14 19:00:00.000000,1.589,2.179,Team Liquid,Polarity,Kills10,BTS,Map1,147452,draw
147480,Counter-Strike,2016-04-14 18:25:00.000000,1.593,2.173,Astralis,NiP,Total,DreamHack,NA,147480,draw
147481,Counter-Strike,2016-04-14 18:25:00.000000,2.219,1.566,Astralis,NiP,GameResult,DreamHack,Map1,147480,draw
147482,Counter-Strike,2016-04-14 18:25:00.000000,1.889,1.827,Astralis,NiP,will win 1st round on map 1,DreamHack,will win 1st round on map 1,147480,win1
147483,Counter-Strike,2016-04-14 18:55:00.000000,2.005,1.716,Astralis,NiP,will win 16th round on map 1,DreamHack,will win 16th round on map 1,147480,draw
147484,Counter-Strike,2016-04-14 18:25:00.000000,1.944,1.771,Astralis,NiP,will win 5 rounds first on map 1,DreamHack,will win 5 rounds first on map 1,147480,draw
147485,Counter-Strike,2016-04-14 18:25:00.000000,1.674,2.056,Astralis,NiP,Total rounds Over 26.5 on map 1,DreamHack,Total rounds Under 26.5 on map 1,147480,draw
147617,Dota2,2016-04-14 17:42:00.000000,1.207,3.481,VG.R (Live),MVP Phoenix (Live),Total,SL i-L LIVE,NA,147617,win1
147618,Dota2,2016-04-14 17:10:00.000000,1.148,3.982,VG.R (Live),MVP Phoenix (Live),GameResult,SL i-L LIVE,Map1,147617,win1
147619,Dota2,2016-04-14 16:46:00.000000,1.907,1.808,VG.R (Live),MVP Phoenix (Live),FB,SL i-L LIVE,Map1,147617,win2
147633,Dota2,2016-04-14 18:10:00.000000,1.238,3.274,VG.R (Live),MVP Phoenix (Live),GameResult,SL i-L LIVE,Map2,147617,win1
147634,Dota2,2016-04-14 17:42:00.000000,1.883,1.834,VG.R (Live),MVP Phoenix (Live),FB,SL i-L LIVE,Map2,147617,win2
147382,Dota2,2016-04-14 17:00:00.000000,1.319,2.875,Team Spirit,Fantastic Five,Total,Prodota Cup,NA,147382,draw
147383,Dota2,2016-04-14 17:00:00.000000,1.442,2.477,Team Spirit,Fantastic Five,GameResult,Prodota Cup,Map1,147382,win1
147384,Dota2,2016-04-14 17:00:00.000000,1.821,1.895,Team Spirit,Fantastic Five,FB,Prodota Cup,Map1,147382,win2
147386,Dota2,2016-04-14 17:00:00.000000,1.587,2.184,Team Spirit,Fantastic Five,Kills10,Prodota Cup,Map1,147382,win2
147636,Dota2,2016-04-14 18:15:03.000000,1.505,2.334,Team Spirit,Fantastic Five,GameResult,Prodota Cup,Map2,147382,draw
147637,Dota2,2016-04-14 18:15:00.000000,1.718,2.003,Team Spirit,Fantastic Five,FB,Prodota Cup,Map2,147382,win2
147638,Dota2,2016-04-14 18:15:00.000000,1.714,2.007,Team Spirit,Fantastic Five,Kills10,Prodota Cup,Map2,147382,win1
147319,Dota2,2016-04-14 16:38:00.000000,1.919,1.796,VG.R,MVP Phoenix,Total,SL i-League,NA,147319,win1
147320,Dota2,2016-04-14 16:38:00.000000,1.952,1.763,VG.R,MVP Phoenix,GameResult,SL i-League,Map1,147319,win1
147321,Dota2,2016-04-14 16:38:00.000000,1.871,1.848,VG.R,MVP Phoenix,FB,SL i-League,Map1,147319,win2
147322,Dota2,2016-04-14 16:38:00.000000,1.922,1.793,VG.R,MVP Phoenix,Kills10,SL i-League,Map1,147319,win1
147422,Dota2,2016-04-14 16:38:00.000000,1.476,2.397,VG.R,MVP Phoenix,Dire will take 1st roshan on map 1,SL i-League,Radiant will take 1st roshan on map 1,147319,win1
147423,Dota2,2016-04-14 16:38:00.000000,1.401,2.591,VG.R,MVP Phoenix,Total kills Over 36.5 on map 1,SL i-League,Total kills Under 36.5 on map 1,147319,win2
147424,Dota2,2016-04-14 16:38:00.000000,2.087,1.651,VG.R,MVP Phoenix,Total kills Over 50.5 on map 1,SL i-League,Total kills Under 50.5 on map 1,147319,win2
147425,Dota2,2016-04-14 16:38:00.000000,1.982,1.736,VG.R,MVP Phoenix,Total time Over 40 minutes on map 1,SL i-League,Total time Under 40 minutes on map 1,147319,win2
147625,Dota2,2016-04-14 17:35:00.000000,1.719,2.002,VG.R,MVP Phoenix,GameResult,SL i-League,Map2,147319,win1
147626,Dota2,2016-04-14 17:34:00.000000,1.811,1.904,VG.R,MVP Phoenix,FB,SL i-League,Map2,147319,win2
147627,Dota2,2016-04-14 17:34:00.000000,1.865,1.854,VG.R,MVP Phoenix,Kills10,SL i-League,Map2,147319,win1
147628,Dota2,2016-04-14 17:34:00.000000,1.644,2.097,VG.R,MVP Phoenix,Dire will take 1st roshan on map 2,SL i-League,Radiant will take 1st roshan on map 2,147319,win2
147629,Dota2,2016-04-14 17:34:00.000000,1.515,2.314,VG.R,MVP Phoenix,Total kills Over 36.5 on map 2,SL i-League,Total kills Under 36.5 on map 2,147319,win1
147630,Dota2,2016-04-14 17:35:00.000000,2.454,1.451,VG.R,MVP Phoenix,Total kills Over 50.5 on map 2,SL i-League,Total kills Under 50.5 on map 2,147319,win1
147631,Dota2,2016-04-14 17:34:00.000000,2.110,1.635,VG.R,MVP Phoenix,Total time Over 40 minutes on map 2,SL i-League,Total time Under 40 minutes on map 2,147319,win1
147529,Counter-Strike,2016-04-14 16:00:00.000000,2.174,3.164,LGD,AllGamers,Total,SL Quali,NA,147529,win1
147474,Counter-Strike,2016-04-14 15:40:00.000000,1.455,2.446,CLG,GODSENT,Total,DreamHack,NA,147474,win2
147475,Counter-Strike,2016-04-14 15:40:00.000000,1.589,2.179,CLG,GODSENT,GameResult,DreamHack,Map1,147474,win2
147476,Counter-Strike,2016-04-14 15:40:00.000000,1.775,1.940,CLG,GODSENT,will win 1st round on map 1,DreamHack,will win 1st round on map 1,147474,win2
147477,Counter-Strike,2016-04-14 16:05:00.000000,1.749,1.967,CLG,GODSENT,will win 16th round on map 1,DreamHack,will win 16th round on map 1,147474,win2
147478,Counter-Strike,2016-04-14 15:40:00.000000,1.695,2.030,CLG,GODSENT,will win 5 rounds first on map 1,DreamHack,will win 5 rounds first on map 1,147474,win1
147479,Counter-Strike,2016-04-14 15:40:00.000000,1.517,2.309,CLG,GODSENT,Total rounds Over 25.5 on map 1,DreamHack,Total rounds Under 25.5 on map 1,147474,win1
147620,Counter-Strike,2016-04-14 16:39:00.000000,1.737,1.980,CLG,GODSENT,will win in overtimes on map 1,DreamHack,will win in overtimes on map 1,147474,win2
147621,Counter-Strike,2016-04-14 17:06:00.000000,1.406,2.576,CLG,GODSENT,GameResult,DreamHack,Map2,147474,win2
147622,Counter-Strike,2016-04-14 17:04:00.000000,1.717,2.003,CLG,GODSENT,will win 1st round on map 2,DreamHack,will win 1st round on map 2,147474,win1
147623,Counter-Strike,2016-04-14 17:30:00.000000,1.726,1.993,CLG,GODSENT,will win 16th round on map 2,DreamHack,will win 16th round on map 2,147474,win2
147624,Counter-Strike,2016-04-14 17:04:00.000000,1.661,2.074,CLG,GODSENT,will win 5 rounds first on map 2,DreamHack,will win 5 rounds first on map 2,147474,win2
147566,Dota2,2016-04-14 14:27:00.000000,1.096,4.644,Alliance (Live),Virtus.pro (Live),Total,SL i-L LIVE,NA,147566,win1
147568,Dota2,2016-04-14 13:55:00.000000,1.022,6.311,Alliance (Live),Virtus.pro (Live),GameResult,SL i-L LIVE,Map1,147566,win1
